"","module","xval","ID.match","taxloc","Location","Tax"
"1",3,"ANTEADEN.GoO_UAE18394.1","UAE18394.1","ANTEADEN.GoO","GoO","ANTEADEN"
"2",3,"ANTEADEN.GoO_UAE18821.1","UAE18821.1","ANTEADEN.GoO","GoO","ANTEADEN"
"3",3,"ANTEADEN.GoO_UAE18822.1","UAE18822.1","ANTEADEN.GoO","GoO","ANTEADEN"
"4",3,"ANTEADEN.GoO_UAE18769.1","UAE18769.1","ANTEADEN.GoO","GoO","ANTEADEN"
"5",3,"ANTEADEN.GoO_UAE18691.1","UAE18691.1","ANTEADEN.GoO","GoO","ANTEADEN"
"6",3,"ANTEADEN.GoO_UAE18456.1","UAE18456.1","ANTEADEN.GoO","GoO","ANTEADEN"
"7",3,"ANTEADEN.GoO_UAE18699.1","UAE18699.1","ANTEADEN.GoO","GoO","ANTEADEN"
"8",4,"ANTEADEN.GoO_UAE18772.1","UAE18772.1","ANTEADEN.GoO","GoO","ANTEADEN"
"9",4,"ANTEADEN.GoO_UAE18768.1","UAE18768.1","ANTEADEN.GoO","GoO","ANTEADEN"
"10",2,"CORYANOM.AG_UAE18185.1","UAE18185.1","CORYANOM.AG","AG","CORYANOM"
"11",2,"CORYANOM.AG_UAE18048.1","UAE18048.1","CORYANOM.AG","AG","CORYANOM"
"12",2,"CORYANOM.AG_UAE18211.1","UAE18211.1","CORYANOM.AG","AG","CORYANOM"
"13",5,"CORYANOM.AG_UAE18250.1","UAE18250.1","CORYANOM.AG","AG","CORYANOM"
"14",5,"CORYANOM.AG_UAE18036.1","UAE18036.1","CORYANOM.AG","AG","CORYANOM"
"15",5,"CORYANOM.AG_UAE18005.1","UAE18005.1","CORYANOM.AG","AG","CORYANOM"
"16",5,"CORYANOM.AG_UAE18133.1","UAE18133.1","CORYANOM.AG","AG","CORYANOM"
"17",5,"CORYANOM.AG_UAE18160.1","UAE18160.1","CORYANOM.AG","AG","CORYANOM"
"18",5,"CORYANOM.AG_UAE18215.1","UAE18215.1","CORYANOM.AG","AG","CORYANOM"
"19",5,"CORYANOM.AG_UAE18063.1","UAE18063.1","CORYANOM.AG","AG","CORYANOM"
"20",1,"CORYANOM.GoO_UAE18645.1","UAE18645.1","CORYANOM.GoO","GoO","CORYANOM"
"21",1,"CORYANOM.GoO_UAE18643.1","UAE18643.1","CORYANOM.GoO","GoO","CORYANOM"
"22",2,"CORYANOM.GoO_UAE18332.1","UAE18332.1","CORYANOM.GoO","GoO","CORYANOM"
"23",2,"CORYANOM.GoO_UAE18738.1","UAE18738.1","CORYANOM.GoO","GoO","CORYANOM"
"24",2,"CORYANOM.GoO_UAE18747.1","UAE18747.1","CORYANOM.GoO","GoO","CORYANOM"
"25",2,"CORYANOM.GoO_UAE18798.1","UAE18798.1","CORYANOM.GoO","GoO","CORYANOM"
"26",4,"CORYANOM.GoO_UAE18867.1","UAE18867.1","CORYANOM.GoO","GoO","CORYANOM"
"27",4,"CORYANOM.GoO_UAE18518.1","UAE18518.1","CORYANOM.GoO","GoO","CORYANOM"
"28",4,"CORYANOM.GoO_UAE18336.1","UAE18336.1","CORYANOM.GoO","GoO","CORYANOM"
"29",2,"ECSEPULC.AG_UAE18055.1","UAE18055.1","ECSEPULC.AG","AG","ECSEPULC"
"30",2,"ECSEPULC.AG_UAE18146.1","UAE18146.1","ECSEPULC.AG","AG","ECSEPULC"
"31",2,"ECSEPULC.AG_UAE18142.1","UAE18142.1","ECSEPULC.AG","AG","ECSEPULC"
"32",2,"ECSEPULC.AG_UAE18141.1","UAE18141.1","ECSEPULC.AG","AG","ECSEPULC"
"33",2,"ECSEPULC.AG_UAE18145.1","UAE18145.1","ECSEPULC.AG","AG","ECSEPULC"
"34",3,"ECSEPULC.AG_UAE18209.1","UAE18209.1","ECSEPULC.AG","AG","ECSEPULC"
"35",4,"ECSEPULC.AG_UAE18182.1","UAE18182.1","ECSEPULC.AG","AG","ECSEPULC"
"36",3,"ECSEPULC.GoO_UAE18418.1","UAE18418.1","ECSEPULC.GoO","GoO","ECSEPULC"
"37",3,"ECSEPULC.GoO_UAE18758.1","UAE18758.1","ECSEPULC.GoO","GoO","ECSEPULC"
"38",3,"ECSEPULC.GoO_UAE18453.1","UAE18453.1","ECSEPULC.GoO","GoO","ECSEPULC"
"39",3,"ECSEPULC.GoO_UAE18816.1","UAE18816.1","ECSEPULC.GoO","GoO","ECSEPULC"
"40",3,"ECSEPULC.GoO_UAE18817.1","UAE18817.1","ECSEPULC.GoO","GoO","ECSEPULC"
"41",3,"ECSEPULC.GoO_UAE18682.1","UAE18682.1","ECSEPULC.GoO","GoO","ECSEPULC"
"42",4,"ECSEPULC.GoO_UAE18856.1","UAE18856.1","ECSEPULC.GoO","GoO","ECSEPULC"
"43",4,"ECSEPULC.GoO_UAE18498.1","UAE18498.1","ECSEPULC.GoO","GoO","ECSEPULC"
"44",4,"ECSEPULC.GoO_UAE18272.1","UAE18272.1","ECSEPULC.GoO","GoO","ECSEPULC"
"45",4,"ECSEPULC.GoO_UAE18499.1","UAE18499.1","ECSEPULC.GoO","GoO","ECSEPULC"
"46",4,"ECSEPULC.GoO_UAE18854.1","UAE18854.1","ECSEPULC.GoO","GoO","ECSEPULC"
"47",2,"ENNEVENT.AG_UAE18009.1","UAE18009.1","ENNEVENT.AG","AG","ENNEVENT"
"48",5,"ENNEVENT.AG_UAE18046.1","UAE18046.1","ENNEVENT.AG","AG","ENNEVENT"
"49",5,"ENNEVENT.AG_UAE18087.1","UAE18087.1","ENNEVENT.AG","AG","ENNEVENT"
"50",5,"ENNEVENT.AG_UAE18104.1","UAE18104.1","ENNEVENT.AG","AG","ENNEVENT"
"51",5,"ENNEVENT.AG_UAE18219.1","UAE18219.1","ENNEVENT.AG","AG","ENNEVENT"
"52",5,"ENNEVENT.AG_UAE18205.1","UAE18205.1","ENNEVENT.AG","AG","ENNEVENT"
"53",5,"ENNEVENT.AG_UAE18022.1","UAE18022.1","ENNEVENT.AG","AG","ENNEVENT"
"54",5,"ENNEVENT.AG_UAE18165.1","UAE18165.1","ENNEVENT.AG","AG","ENNEVENT"
"55",5,"ENNEVENT.AG_UAE18023.1","UAE18023.1","ENNEVENT.AG","AG","ENNEVENT"
"56",1,"ENNEVENT.GoO_UAE18319.1","UAE18319.1","ENNEVENT.GoO","GoO","ENNEVENT"
"57",1,"ENNEVENT.GoO_UAE18321.1","UAE18321.1","ENNEVENT.GoO","GoO","ENNEVENT"
"58",1,"ENNEVENT.GoO_UAE18409.1","UAE18409.1","ENNEVENT.GoO","GoO","ENNEVENT"
"59",1,"ENNEVENT.GoO_UAE18482.1","UAE18482.1","ENNEVENT.GoO","GoO","ENNEVENT"
"60",1,"ENNEVENT.GoO_UAE18859.1","UAE18859.1","ENNEVENT.GoO","GoO","ENNEVENT"
"61",1,"ENNEVENT.GoO_UAE18861.1","UAE18861.1","ENNEVENT.GoO","GoO","ENNEVENT"
"62",1,"ENNEVENT.GoO_UAE18324.1","UAE18324.1","ENNEVENT.GoO","GoO","ENNEVENT"
