location,site,sitename,quadrat,point,category
AG,Dhabiya,DhabiyaI,1,1,turf
AG,Dhabiya,DhabiyaI,1,2,unidentifiable
AG,Dhabiya,DhabiyaI,1,3,turf
AG,Dhabiya,DhabiyaI,1,4,turf
AG,Dhabiya,DhabiyaI,1,5,rock
AG,Dhabiya,DhabiyaI,1,6,unidentifiable
AG,Dhabiya,DhabiyaI,1,7,turf
AG,Dhabiya,DhabiyaI,1,8,hydroids
AG,Dhabiya,DhabiyaI,1,9,livecoral_massive
AG,Dhabiya,DhabiyaI,1,10,rock
AG,Dhabiya,DhabiyaI,1,11,livecoral_massive
AG,Dhabiya,DhabiyaI,1,12,rock
AG,Dhabiya,DhabiyaI,1,13,rock
AG,Dhabiya,DhabiyaI,1,14,livecoral_massive
AG,Dhabiya,DhabiyaI,1,15,livecoral_foliose
AG,Dhabiya,DhabiyaI,1,16,unidentifiable
AG,Dhabiya,DhabiyaI,2,1,dead_coral
AG,Dhabiya,DhabiyaI,2,2,turf
AG,Dhabiya,DhabiyaI,2,3,livecoral_massive
AG,Dhabiya,DhabiyaI,2,4,turf
AG,Dhabiya,DhabiyaI,2,5,dead_coral
AG,Dhabiya,DhabiyaI,2,6,dead_coral
AG,Dhabiya,DhabiyaI,2,7,urchin
AG,Dhabiya,DhabiyaI,2,8,turf
AG,Dhabiya,DhabiyaI,2,9,turf
AG,Dhabiya,DhabiyaI,2,10,turf
AG,Dhabiya,DhabiyaI,2,11,livecoral_massive
AG,Dhabiya,DhabiyaI,2,12,livecoral_massive
AG,Dhabiya,DhabiyaI,2,13,livecoral_massive
AG,Dhabiya,DhabiyaI,2,14,turf
AG,Dhabiya,DhabiyaI,2,15,turf
AG,Dhabiya,DhabiyaI,2,16,unidentifiable
AG,Dhabiya,DhabiyaI,3,1,livecoral_massive
AG,Dhabiya,DhabiyaI,3,2,turf
AG,Dhabiya,DhabiyaI,3,3,turf
AG,Dhabiya,DhabiyaI,3,4,livecoral_massive
AG,Dhabiya,DhabiyaI,3,5,livecoral_massive
AG,Dhabiya,DhabiyaI,3,6,dead_coral
AG,Dhabiya,DhabiyaI,3,7,livecoral_massive
AG,Dhabiya,DhabiyaI,3,8,livecoral_massive
AG,Dhabiya,DhabiyaI,3,9,dead_coral
AG,Dhabiya,DhabiyaI,3,10,dead_coral
AG,Dhabiya,DhabiyaI,3,11,livecoral_massive
AG,Dhabiya,DhabiyaI,3,12,dead_coral
AG,Dhabiya,DhabiyaI,3,13,livecoral_massive
