"","member","ID.match","Location","Tax"
"1",1,"UAE18744.1","GoO","EVIOGUTT"
"2",2,"UAE18215.1","AG","CORYANOM"
"3",3,"UAE18324.1","GoO","ENNEVENT"
"4",4,"UAE18005.1","AG","CORYANOM"
"5",5,"UAE18272.1","GoO","ECSEPULC"
"6",5,"UAE18319.1","GoO","ENNEVENT"
"7",5,"UAE18321.1","GoO","ENNEVENT"
"8",5,"UAE18330.1","GoO","HETEVULG"
"9",5,"UAE18394.1","GoO","ANTEADEN"
"10",5,"UAE18404.1","GoO","HETEVULG"
"11",5,"UAE18418.1","GoO","ECSEPULC"
"12",5,"UAE18453.1","GoO","ECSEPULC"
"13",5,"UAE18456.1","GoO","ANTEADEN"
"14",5,"UAE18482.1","GoO","ENNEVENT"
"15",5,"UAE18498.1","GoO","ECSEPULC"
"16",5,"UAE18499.1","GoO","ECSEPULC"
"17",5,"UAE18514.1","GoO","EVIOGUTT"
"18",5,"UAE18518.1","GoO","CORYANOM"
"19",5,"UAE18635.1","GoO","ENNEVENT"
"20",5,"UAE18643.1","GoO","CORYANOM"
"21",5,"UAE18658.1","GoO","HETEVULG"
"22",5,"UAE18699.1","GoO","ANTEADEN"
"23",5,"UAE18758.1","GoO","ECSEPULC"
"24",5,"UAE18768.1","GoO","ANTEADEN"
"25",5,"UAE18772.1","GoO","ANTEADEN"
"26",5,"UAE18816.1","GoO","ECSEPULC"
"27",5,"UAE18841.1","GoO","EVIOGUTT"
"28",5,"UAE18854.1","GoO","ECSEPULC"
"29",5,"UAE18856.1","GoO","ECSEPULC"
"30",5,"UAE18859.1","GoO","ENNEVENT"
"31",5,"UAE18861.1","GoO","ENNEVENT"
"32",5,"UAE18863.1","GoO","HETEVULG"
"33",6,"UAE18682.1","GoO","ECSEPULC"
"34",7,"UAE18211.1","AG","CORYANOM"
"35",8,"UAE18817.1","GoO","ECSEPULC"
"36",9,"UAE18290.1","GoO","EVIOGUTT"
"37",10,"UAE18575.1","GoO","EVIOGUTT"
"38",11,"UAE18413.1","GoO","ENNEVENT"
"39",12,"UAE18340.1","GoO","HETEVULG"
"40",13,"UAE18738.1","GoO","CORYANOM"
"41",14,"UAE18063.1","AG","CORYANOM"
"42",14,"UAE18104.1","AG","ENNEVENT"
"43",15,"UAE18182.1","AG","ECSEPULC"
"44",16,"UAE18036.1","AG","CORYANOM"
"45",16,"UAE18048.1","AG","CORYANOM"
"46",16,"UAE18141.1","AG","ECSEPULC"
"47",16,"UAE18142.1","AG","ECSEPULC"
"48",16,"UAE18145.1","AG","ECSEPULC"
"49",16,"UAE18146.1","AG","ECSEPULC"
"50",16,"UAE18160.1","AG","CORYANOM"
"51",16,"UAE18250.1","AG","CORYANOM"
"52",17,"UAE18133.1","AG","CORYANOM"
"53",18,"UAE18087.1","AG","ENNEVENT"
"54",19,"UAE18055.1","AG","ECSEPULC"
"55",20,"UAE18822.1","GoO","ANTEADEN"
"56",21,"UAE18568.1","GoO","EVIOGUTT"
"57",22,"UAE18185.1","AG","CORYANOM"
"58",23,"UAE18725.1","GoO","HETEVULG"
"59",24,"UAE18332.1","GoO","CORYANOM"
"60",25,"UAE18388.1","GoO","EVIOGUTT"
"61",26,"UAE18747.1","GoO","CORYANOM"
"62",27,"UAE18046.1","AG","ENNEVENT"
"63",28,"UAE18840.1","GoO","EVIOGUTT"
"64",29,"UAE18692.1","GoO","ANTEADEN"
"65",30,"UAE18336.1","GoO","CORYANOM"
"66",31,"UAE18691.1","GoO","ANTEADEN"
"67",32,"UAE18818.1","GoO","EVIOGUTT"
"68",33,"UAE18022.1","AG","ENNEVENT"
"69",34,"UAE18205.1","AG","ENNEVENT"
"70",35,"UAE18549.1","GoO","HETEVULG"
"71",36,"UAE18867.1","GoO","CORYANOM"
"72",37,"UAE18769.1","GoO","ANTEADEN"
"73",38,"UAE18798.1","GoO","CORYANOM"
"74",39,"UAE18821.1","GoO","ANTEADEN"
"75",40,"UAE18408.1","GoO","CORYANOM"
"76",41,"UAE18153.1","AG","ENNEVENT"
"77",42,"UAE18645.1","GoO","CORYANOM"
"78",43,"UAE18165.1","AG","ENNEVENT"
"79",44,"UAE18409.1","GoO","ENNEVENT"
"80",45,"UAE18219.1","AG","ENNEVENT"
"81",46,"UAE18009.1","AG","ENNEVENT"
"82",47,"UAE18023.1","AG","ENNEVENT"
"83",48,"UAE18804.1","GoO","HETEVULG"
"84",49,"UAE18478.1","GoO","ENNEVENT"
"85",50,"UAE18209.1","AG","ECSEPULC"
"86",51,"UAE18286.1","GoO","EVIOGUTT"
