"","module","xval","ID.match","taxloc","Location","Tax"
"1",4,"ANTEADEN.GoO_UAE18394.1","UAE18394.1","ANTEADEN.GoO","GoO","ANTEADEN"
"2",4,"ANTEADEN.GoO_UAE18456.1","UAE18456.1","ANTEADEN.GoO","GoO","ANTEADEN"
"3",4,"ANTEADEN.GoO_UAE18691.1","UAE18691.1","ANTEADEN.GoO","GoO","ANTEADEN"
"4",4,"ANTEADEN.GoO_UAE18692.1","UAE18692.1","ANTEADEN.GoO","GoO","ANTEADEN"
"5",4,"ANTEADEN.GoO_UAE18699.1","UAE18699.1","ANTEADEN.GoO","GoO","ANTEADEN"
"6",4,"ANTEADEN.GoO_UAE18768.1","UAE18768.1","ANTEADEN.GoO","GoO","ANTEADEN"
"7",4,"ANTEADEN.GoO_UAE18769.1","UAE18769.1","ANTEADEN.GoO","GoO","ANTEADEN"
"8",4,"ANTEADEN.GoO_UAE18772.1","UAE18772.1","ANTEADEN.GoO","GoO","ANTEADEN"
"9",4,"ANTEADEN.GoO_UAE18821.1","UAE18821.1","ANTEADEN.GoO","GoO","ANTEADEN"
"10",4,"ANTEADEN.GoO_UAE18822.1","UAE18822.1","ANTEADEN.GoO","GoO","ANTEADEN"
"11",1,"CORYANOM.AG_UAE18211.1","UAE18211.1","CORYANOM.AG","AG","CORYANOM"
"12",3,"CORYANOM.AG_UAE18036.1","UAE18036.1","CORYANOM.AG","AG","CORYANOM"
"13",3,"CORYANOM.AG_UAE18048.1","UAE18048.1","CORYANOM.AG","AG","CORYANOM"
"14",3,"CORYANOM.AG_UAE18063.1","UAE18063.1","CORYANOM.AG","AG","CORYANOM"
"15",3,"CORYANOM.AG_UAE18133.1","UAE18133.1","CORYANOM.AG","AG","CORYANOM"
"16",3,"CORYANOM.AG_UAE18160.1","UAE18160.1","CORYANOM.AG","AG","CORYANOM"
"17",3,"CORYANOM.AG_UAE18185.1","UAE18185.1","CORYANOM.AG","AG","CORYANOM"
"18",3,"CORYANOM.AG_UAE18215.1","UAE18215.1","CORYANOM.AG","AG","CORYANOM"
"19",3,"CORYANOM.AG_UAE18250.1","UAE18250.1","CORYANOM.AG","AG","CORYANOM"
"20",3,"CORYANOM.AG_UAE18005.1","UAE18005.1","CORYANOM.AG","AG","CORYANOM"
"21",1,"CORYANOM.GoO_UAE18332.1","UAE18332.1","CORYANOM.GoO","GoO","CORYANOM"
"22",1,"CORYANOM.GoO_UAE18408.1","UAE18408.1","CORYANOM.GoO","GoO","CORYANOM"
"23",1,"CORYANOM.GoO_UAE18747.1","UAE18747.1","CORYANOM.GoO","GoO","CORYANOM"
"24",1,"CORYANOM.GoO_UAE18798.1","UAE18798.1","CORYANOM.GoO","GoO","CORYANOM"
"25",2,"CORYANOM.GoO_UAE18518.1","UAE18518.1","CORYANOM.GoO","GoO","CORYANOM"
"26",2,"CORYANOM.GoO_UAE18867.1","UAE18867.1","CORYANOM.GoO","GoO","CORYANOM"
"27",5,"CORYANOM.GoO_UAE18336.1","UAE18336.1","CORYANOM.GoO","GoO","CORYANOM"
"28",5,"CORYANOM.GoO_UAE18643.1","UAE18643.1","CORYANOM.GoO","GoO","CORYANOM"
"29",5,"CORYANOM.GoO_UAE18645.1","UAE18645.1","CORYANOM.GoO","GoO","CORYANOM"
"30",5,"CORYANOM.GoO_UAE18738.1","UAE18738.1","CORYANOM.GoO","GoO","CORYANOM"
"31",3,"ECSEPULC.AG_UAE18055.1","UAE18055.1","ECSEPULC.AG","AG","ECSEPULC"
"32",3,"ECSEPULC.AG_UAE18141.1","UAE18141.1","ECSEPULC.AG","AG","ECSEPULC"
"33",3,"ECSEPULC.AG_UAE18142.1","UAE18142.1","ECSEPULC.AG","AG","ECSEPULC"
"34",3,"ECSEPULC.AG_UAE18145.1","UAE18145.1","ECSEPULC.AG","AG","ECSEPULC"
"35",3,"ECSEPULC.AG_UAE18146.1","UAE18146.1","ECSEPULC.AG","AG","ECSEPULC"
"36",3,"ECSEPULC.AG_UAE18182.1","UAE18182.1","ECSEPULC.AG","AG","ECSEPULC"
"37",3,"ECSEPULC.AG_UAE18209.1","UAE18209.1","ECSEPULC.AG","AG","ECSEPULC"
"38",1,"ECSEPULC.GoO_UAE18816.1","UAE18816.1","ECSEPULC.GoO","GoO","ECSEPULC"
"39",2,"ECSEPULC.GoO_UAE18272.1","UAE18272.1","ECSEPULC.GoO","GoO","ECSEPULC"
"40",2,"ECSEPULC.GoO_UAE18498.1","UAE18498.1","ECSEPULC.GoO","GoO","ECSEPULC"
"41",2,"ECSEPULC.GoO_UAE18499.1","UAE18499.1","ECSEPULC.GoO","GoO","ECSEPULC"
"42",2,"ECSEPULC.GoO_UAE18817.1","UAE18817.1","ECSEPULC.GoO","GoO","ECSEPULC"
"43",2,"ECSEPULC.GoO_UAE18854.1","UAE18854.1","ECSEPULC.GoO","GoO","ECSEPULC"
"44",2,"ECSEPULC.GoO_UAE18856.1","UAE18856.1","ECSEPULC.GoO","GoO","ECSEPULC"
"45",4,"ECSEPULC.GoO_UAE18418.1","UAE18418.1","ECSEPULC.GoO","GoO","ECSEPULC"
"46",4,"ECSEPULC.GoO_UAE18453.1","UAE18453.1","ECSEPULC.GoO","GoO","ECSEPULC"
"47",4,"ECSEPULC.GoO_UAE18682.1","UAE18682.1","ECSEPULC.GoO","GoO","ECSEPULC"
"48",4,"ECSEPULC.GoO_UAE18758.1","UAE18758.1","ECSEPULC.GoO","GoO","ECSEPULC"
"49",3,"ENNEVENT.AG_UAE18022.1","UAE18022.1","ENNEVENT.AG","AG","ENNEVENT"
"50",3,"ENNEVENT.AG_UAE18023.1","UAE18023.1","ENNEVENT.AG","AG","ENNEVENT"
"51",3,"ENNEVENT.AG_UAE18046.1","UAE18046.1","ENNEVENT.AG","AG","ENNEVENT"
"52",3,"ENNEVENT.AG_UAE18087.1","UAE18087.1","ENNEVENT.AG","AG","ENNEVENT"
"53",3,"ENNEVENT.AG_UAE18104.1","UAE18104.1","ENNEVENT.AG","AG","ENNEVENT"
"54",3,"ENNEVENT.AG_UAE18153.1","UAE18153.1","ENNEVENT.AG","AG","ENNEVENT"
"55",3,"ENNEVENT.AG_UAE18165.1","UAE18165.1","ENNEVENT.AG","AG","ENNEVENT"
"56",3,"ENNEVENT.AG_UAE18205.1","UAE18205.1","ENNEVENT.AG","AG","ENNEVENT"
"57",3,"ENNEVENT.AG_UAE18219.1","UAE18219.1","ENNEVENT.AG","AG","ENNEVENT"
"58",3,"ENNEVENT.AG_UAE18009.1","UAE18009.1","ENNEVENT.AG","AG","ENNEVENT"
"59",2,"ENNEVENT.GoO_UAE18319.1","UAE18319.1","ENNEVENT.GoO","GoO","ENNEVENT"
"60",2,"ENNEVENT.GoO_UAE18321.1","UAE18321.1","ENNEVENT.GoO","GoO","ENNEVENT"
"61",2,"ENNEVENT.GoO_UAE18324.1","UAE18324.1","ENNEVENT.GoO","GoO","ENNEVENT"
"62",2,"ENNEVENT.GoO_UAE18635.1","UAE18635.1","ENNEVENT.GoO","GoO","ENNEVENT"
"63",2,"ENNEVENT.GoO_UAE18859.1","UAE18859.1","ENNEVENT.GoO","GoO","ENNEVENT"
"64",2,"ENNEVENT.GoO_UAE18861.1","UAE18861.1","ENNEVENT.GoO","GoO","ENNEVENT"
"65",4,"ENNEVENT.GoO_UAE18478.1","UAE18478.1","ENNEVENT.GoO","GoO","ENNEVENT"
"66",4,"ENNEVENT.GoO_UAE18482.1","UAE18482.1","ENNEVENT.GoO","GoO","ENNEVENT"
"67",5,"ENNEVENT.GoO_UAE18409.1","UAE18409.1","ENNEVENT.GoO","GoO","ENNEVENT"
"68",5,"ENNEVENT.GoO_UAE18413.1","UAE18413.1","ENNEVENT.GoO","GoO","ENNEVENT"
"69",1,"EVIOGUTT.GoO_UAE18575.1","UAE18575.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"70",1,"EVIOGUTT.GoO_UAE18744.1","UAE18744.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"71",1,"EVIOGUTT.GoO_UAE18818.1","UAE18818.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"72",2,"EVIOGUTT.GoO_UAE18286.1","UAE18286.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"73",2,"EVIOGUTT.GoO_UAE18568.1","UAE18568.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"74",2,"EVIOGUTT.GoO_UAE18840.1","UAE18840.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"75",2,"EVIOGUTT.GoO_UAE18841.1","UAE18841.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"76",4,"EVIOGUTT.GoO_UAE18514.1","UAE18514.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"77",5,"EVIOGUTT.GoO_UAE18290.1","UAE18290.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"78",5,"EVIOGUTT.GoO_UAE18388.1","UAE18388.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"79",1,"HETEVULG.GoO_UAE18340.1","UAE18340.1","HETEVULG.GoO","GoO","HETEVULG"
"80",1,"HETEVULG.GoO_UAE18725.1","UAE18725.1","HETEVULG.GoO","GoO","HETEVULG"
"81",1,"HETEVULG.GoO_UAE18804.1","UAE18804.1","HETEVULG.GoO","GoO","HETEVULG"
"82",2,"HETEVULG.GoO_UAE18330.1","UAE18330.1","HETEVULG.GoO","GoO","HETEVULG"
"83",2,"HETEVULG.GoO_UAE18404.1","UAE18404.1","HETEVULG.GoO","GoO","HETEVULG"
"84",2,"HETEVULG.GoO_UAE18549.1","UAE18549.1","HETEVULG.GoO","GoO","HETEVULG"
"85",2,"HETEVULG.GoO_UAE18658.1","UAE18658.1","HETEVULG.GoO","GoO","HETEVULG"
"86",2,"HETEVULG.GoO_UAE18863.1","UAE18863.1","HETEVULG.GoO","GoO","HETEVULG"
