"","member","ID.match","Location","Tax"
"1",1,"UAE18046.1","AG","ENNEVENT"
"2",1,"UAE18087.1","AG","ENNEVENT"
"3",1,"UAE18104.1","AG","ENNEVENT"
"4",1,"UAE18219.1","AG","ENNEVENT"
"5",1,"UAE18165.1","AG","ENNEVENT"
"6",1,"UAE18023.1","AG","ENNEVENT"
"7",1,"UAE18514.1","GoO","EVIOGUTT"
"8",2,"UAE18055.1","AG","ECSEPULC"
"9",2,"UAE18146.1","AG","ECSEPULC"
"10",3,"UAE18319.1","GoO","ENNEVENT"
"11",3,"UAE18321.1","GoO","ENNEVENT"
"12",3,"UAE18409.1","GoO","ENNEVENT"
"13",3,"UAE18482.1","GoO","ENNEVENT"
"14",3,"UAE18859.1","GoO","ENNEVENT"
"15",3,"UAE18861.1","GoO","ENNEVENT"
"16",3,"UAE18324.1","GoO","ENNEVENT"
"17",3,"UAE18290.1","GoO","EVIOGUTT"
"18",3,"UAE18478.1","GoO","ENNEVENT"
"19",3,"UAE18841.1","GoO","EVIOGUTT"
"20",3,"UAE18635.1","GoO","ENNEVENT"
"21",3,"UAE18840.1","GoO","EVIOGUTT"
"22",3,"UAE18645.1","GoO","CORYANOM"
"23",3,"UAE18575.1","GoO","EVIOGUTT"
"24",3,"UAE18286.1","GoO","EVIOGUTT"
"25",3,"UAE18413.1","GoO","ENNEVENT"
"26",3,"UAE18804.1","GoO","HETEVULG"
"27",3,"UAE18643.1","GoO","CORYANOM"
"28",3,"UAE18340.1","GoO","HETEVULG"
"29",3,"UAE18048.1","AG","CORYANOM"
"30",4,"UAE18332.1","GoO","CORYANOM"
"31",4,"UAE18738.1","GoO","CORYANOM"
"32",4,"UAE18518.1","GoO","CORYANOM"
"33",4,"UAE18798.1","GoO","CORYANOM"
"34",4,"UAE18211.1","AG","CORYANOM"
"35",5,"UAE18418.1","GoO","ECSEPULC"
"36",6,"UAE18182.1","AG","ECSEPULC"
"37",6,"UAE18142.1","AG","ECSEPULC"
"38",6,"UAE18250.1","AG","CORYANOM"
"39",6,"UAE18747.1","GoO","CORYANOM"
"40",6,"UAE18856.1","GoO","ECSEPULC"
"41",6,"UAE18394.1","GoO","ANTEADEN"
"42",6,"UAE18453.1","GoO","ECSEPULC"
"43",6,"UAE18816.1","GoO","ECSEPULC"
"44",6,"UAE18817.1","GoO","ECSEPULC"
"45",6,"UAE18821.1","GoO","ANTEADEN"
"46",6,"UAE18822.1","GoO","ANTEADEN"
"47",6,"UAE18682.1","GoO","ECSEPULC"
"48",6,"UAE18272.1","GoO","ECSEPULC"
"49",6,"UAE18499.1","GoO","ECSEPULC"
"50",6,"UAE18769.1","GoO","ANTEADEN"
"51",6,"UAE18772.1","GoO","ANTEADEN"
"52",6,"UAE18854.1","GoO","ECSEPULC"
"53",6,"UAE18867.1","GoO","CORYANOM"
"54",6,"UAE18568.1","GoO","EVIOGUTT"
"55",6,"UAE18691.1","GoO","ANTEADEN"
"56",6,"UAE18209.1","AG","ECSEPULC"
"57",6,"UAE18456.1","GoO","ANTEADEN"
"58",6,"UAE18768.1","GoO","ANTEADEN"
"59",6,"UAE18699.1","GoO","ANTEADEN"
"60",6,"UAE18336.1","GoO","CORYANOM"
"61",7,"UAE18063.1","AG","CORYANOM"
"62",8,"UAE18141.1","AG","ECSEPULC"
"63",8,"UAE18185.1","AG","CORYANOM"
"64",8,"UAE18145.1","AG","ECSEPULC"
"65",9,"UAE18205.1","AG","ENNEVENT"
"66",10,"UAE18498.1","GoO","ECSEPULC"
"67",11,"UAE18022.1","AG","ENNEVENT"
"68",11,"UAE18036.1","AG","CORYANOM"
"69",12,"UAE18005.1","AG","CORYANOM"
"70",12,"UAE18133.1","AG","CORYANOM"
"71",12,"UAE18160.1","AG","CORYANOM"
"72",13,"UAE18215.1","AG","CORYANOM"
"73",14,"UAE18758.1","GoO","ECSEPULC"
"74",15,"UAE18330.1","GoO","HETEVULG"
"75",16,"UAE18692.1","GoO","ANTEADEN"
"76",17,"UAE18408.1","GoO","CORYANOM"
"77",18,"UAE18009.1","AG","ENNEVENT"
"78",19,"UAE18744.1","GoO","EVIOGUTT"
"79",20,"UAE18388.1","GoO","EVIOGUTT"
"80",20,"UAE18404.1","GoO","HETEVULG"
"81",21,"UAE18863.1","GoO","HETEVULG"
