"","module","ID.match","Location","Tax"
"1",1,"UAE18319.1","GoO","ENNEVENT"
"2",1,"UAE18321.1","GoO","ENNEVENT"
"3",1,"UAE18409.1","GoO","ENNEVENT"
"4",1,"UAE18482.1","GoO","ENNEVENT"
"5",1,"UAE18859.1","GoO","ENNEVENT"
"6",1,"UAE18861.1","GoO","ENNEVENT"
"7",1,"UAE18324.1","GoO","ENNEVENT"
"8",1,"UAE18478.1","GoO","ENNEVENT"
"9",1,"UAE18290.1","GoO","EVIOGUTT"
"10",1,"UAE18841.1","GoO","EVIOGUTT"
"11",1,"UAE18635.1","GoO","ENNEVENT"
"12",1,"UAE18840.1","GoO","EVIOGUTT"
"13",1,"UAE18645.1","GoO","CORYANOM"
"14",1,"UAE18575.1","GoO","EVIOGUTT"
"15",1,"UAE18286.1","GoO","EVIOGUTT"
"16",1,"UAE18413.1","GoO","ENNEVENT"
"17",1,"UAE18340.1","GoO","HETEVULG"
"18",1,"UAE18643.1","GoO","CORYANOM"
"19",1,"UAE18744.1","GoO","EVIOGUTT"
"20",2,"UAE18055.1","AG","ECSEPULC"
"21",2,"UAE18146.1","AG","ECSEPULC"
"22",2,"UAE18332.1","GoO","CORYANOM"
"23",2,"UAE18738.1","GoO","CORYANOM"
"24",2,"UAE18142.1","AG","ECSEPULC"
"25",2,"UAE18141.1","AG","ECSEPULC"
"26",2,"UAE18330.1","GoO","HETEVULG"
"27",2,"UAE18747.1","GoO","CORYANOM"
"28",2,"UAE18185.1","AG","CORYANOM"
"29",2,"UAE18009.1","AG","ENNEVENT"
"30",2,"UAE18145.1","AG","ECSEPULC"
"31",2,"UAE18798.1","GoO","CORYANOM"
"32",2,"UAE18048.1","AG","CORYANOM"
"33",2,"UAE18211.1","AG","CORYANOM"
"34",3,"UAE18418.1","GoO","ECSEPULC"
"35",3,"UAE18758.1","GoO","ECSEPULC"
"36",3,"UAE18394.1","GoO","ANTEADEN"
"37",3,"UAE18453.1","GoO","ECSEPULC"
"38",3,"UAE18816.1","GoO","ECSEPULC"
"39",3,"UAE18817.1","GoO","ECSEPULC"
"40",3,"UAE18821.1","GoO","ANTEADEN"
"41",3,"UAE18822.1","GoO","ANTEADEN"
"42",3,"UAE18769.1","GoO","ANTEADEN"
"43",3,"UAE18568.1","GoO","EVIOGUTT"
"44",3,"UAE18682.1","GoO","ECSEPULC"
"45",3,"UAE18691.1","GoO","ANTEADEN"
"46",3,"UAE18209.1","AG","ECSEPULC"
"47",3,"UAE18456.1","GoO","ANTEADEN"
"48",3,"UAE18699.1","GoO","ANTEADEN"
"49",4,"UAE18182.1","AG","ECSEPULC"
"50",4,"UAE18856.1","GoO","ECSEPULC"
"51",4,"UAE18498.1","GoO","ECSEPULC"
"52",4,"UAE18272.1","GoO","ECSEPULC"
"53",4,"UAE18499.1","GoO","ECSEPULC"
"54",4,"UAE18772.1","GoO","ANTEADEN"
"55",4,"UAE18854.1","GoO","ECSEPULC"
"56",4,"UAE18867.1","GoO","CORYANOM"
"57",4,"UAE18518.1","GoO","CORYANOM"
"58",4,"UAE18768.1","GoO","ANTEADEN"
"59",4,"UAE18804.1","GoO","HETEVULG"
"60",4,"UAE18388.1","GoO","EVIOGUTT"
"61",4,"UAE18404.1","GoO","HETEVULG"
"62",4,"UAE18336.1","GoO","CORYANOM"
"63",5,"UAE18046.1","AG","ENNEVENT"
"64",5,"UAE18087.1","AG","ENNEVENT"
"65",5,"UAE18104.1","AG","ENNEVENT"
"66",5,"UAE18219.1","AG","ENNEVENT"
"67",5,"UAE18250.1","AG","CORYANOM"
"68",5,"UAE18205.1","AG","ENNEVENT"
"69",5,"UAE18022.1","AG","ENNEVENT"
"70",5,"UAE18036.1","AG","CORYANOM"
"71",5,"UAE18165.1","AG","ENNEVENT"
"72",5,"UAE18005.1","AG","CORYANOM"
"73",5,"UAE18133.1","AG","CORYANOM"
"74",5,"UAE18160.1","AG","CORYANOM"
"75",5,"UAE18215.1","AG","CORYANOM"
"76",5,"UAE18023.1","AG","ENNEVENT"
"77",5,"UAE18063.1","AG","CORYANOM"
"78",5,"UAE18514.1","GoO","EVIOGUTT"
