"","member","ID.match","Location","Tax"
"1",1,"UAE18005.1","AG","CORYANOM"
"2",1,"UAE18133.1","AG","CORYANOM"
"3",1,"UAE18160.1","AG","CORYANOM"
"4",2,"UAE18009.1","AG","ENNEVENT"
"5",3,"UAE18022.1","AG","ENNEVENT"
"6",3,"UAE18023.1","AG","ENNEVENT"
"7",3,"UAE18036.1","AG","CORYANOM"
"8",3,"UAE18046.1","AG","ENNEVENT"
"9",3,"UAE18087.1","AG","ENNEVENT"
"10",3,"UAE18104.1","AG","ENNEVENT"
"11",3,"UAE18165.1","AG","ENNEVENT"
"12",3,"UAE18205.1","AG","ENNEVENT"
"13",3,"UAE18514.1","GoO","EVIOGUTT"
"14",4,"UAE18048.1","AG","CORYANOM"
"15",5,"UAE18055.1","AG","ECSEPULC"
"16",5,"UAE18141.1","AG","ECSEPULC"
"17",5,"UAE18142.1","AG","ECSEPULC"
"18",5,"UAE18146.1","AG","ECSEPULC"
"19",6,"UAE18063.1","AG","CORYANOM"
"20",7,"UAE18145.1","AG","ECSEPULC"
"21",8,"UAE18182.1","AG","ECSEPULC"
"22",8,"UAE18209.1","AG","ECSEPULC"
"23",8,"UAE18250.1","AG","CORYANOM"
"24",8,"UAE18272.1","GoO","ECSEPULC"
"25",8,"UAE18394.1","GoO","ANTEADEN"
"26",8,"UAE18418.1","GoO","ECSEPULC"
"27",8,"UAE18453.1","GoO","ECSEPULC"
"28",8,"UAE18456.1","GoO","ANTEADEN"
"29",8,"UAE18498.1","GoO","ECSEPULC"
"30",8,"UAE18499.1","GoO","ECSEPULC"
"31",8,"UAE18682.1","GoO","ECSEPULC"
"32",8,"UAE18691.1","GoO","ANTEADEN"
"33",8,"UAE18699.1","GoO","ANTEADEN"
"34",8,"UAE18747.1","GoO","CORYANOM"
"35",8,"UAE18758.1","GoO","ECSEPULC"
"36",8,"UAE18768.1","GoO","ANTEADEN"
"37",8,"UAE18769.1","GoO","ANTEADEN"
"38",8,"UAE18772.1","GoO","ANTEADEN"
"39",8,"UAE18816.1","GoO","ECSEPULC"
"40",8,"UAE18817.1","GoO","ECSEPULC"
"41",8,"UAE18821.1","GoO","ANTEADEN"
"42",8,"UAE18822.1","GoO","ANTEADEN"
"43",8,"UAE18854.1","GoO","ECSEPULC"
"44",8,"UAE18856.1","GoO","ECSEPULC"
"45",9,"UAE18185.1","AG","CORYANOM"
"46",10,"UAE18211.1","AG","CORYANOM"
"47",10,"UAE18332.1","GoO","CORYANOM"
"48",10,"UAE18738.1","GoO","CORYANOM"
"49",10,"UAE18798.1","GoO","CORYANOM"
"50",11,"UAE18215.1","AG","CORYANOM"
"51",12,"UAE18219.1","AG","ENNEVENT"
"52",12,"UAE18286.1","GoO","EVIOGUTT"
"53",12,"UAE18290.1","GoO","EVIOGUTT"
"54",12,"UAE18319.1","GoO","ENNEVENT"
"55",12,"UAE18321.1","GoO","ENNEVENT"
"56",12,"UAE18324.1","GoO","ENNEVENT"
"57",12,"UAE18330.1","GoO","HETEVULG"
"58",12,"UAE18340.1","GoO","HETEVULG"
"59",12,"UAE18409.1","GoO","ENNEVENT"
"60",12,"UAE18413.1","GoO","ENNEVENT"
"61",12,"UAE18478.1","GoO","ENNEVENT"
"62",12,"UAE18482.1","GoO","ENNEVENT"
"63",12,"UAE18575.1","GoO","EVIOGUTT"
"64",12,"UAE18635.1","GoO","ENNEVENT"
"65",12,"UAE18643.1","GoO","CORYANOM"
"66",12,"UAE18645.1","GoO","CORYANOM"
"67",12,"UAE18744.1","GoO","EVIOGUTT"
"68",12,"UAE18804.1","GoO","HETEVULG"
"69",12,"UAE18840.1","GoO","EVIOGUTT"
"70",12,"UAE18841.1","GoO","EVIOGUTT"
"71",12,"UAE18859.1","GoO","ENNEVENT"
"72",12,"UAE18861.1","GoO","ENNEVENT"
"73",13,"UAE18336.1","GoO","CORYANOM"
"74",14,"UAE18388.1","GoO","EVIOGUTT"
"75",14,"UAE18404.1","GoO","HETEVULG"
"76",15,"UAE18518.1","GoO","CORYANOM"
"77",16,"UAE18568.1","GoO","EVIOGUTT"
"78",17,"UAE18867.1","GoO","CORYANOM"
