Family,Species,SpecCode,MaxSizeTL,Diet,Schooling,Position,a,b,FormFactor,Linf,LinfType,LinfTL,K,Kmax,O,lon,lat,sstmean,pelnpp,Method,Country,Locality,GrowthRef
Acanthuridae,Acanthurus auranticavus,4748,60.7,Herbivore-detritivore,Large groups,Bentho-pelagic Reef dwelling,0.02239,2.97,0.020385159,23.5,SL,31.7131325,0.676,0.155844968,3.223002368,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Acanthurus bahianus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,17.54,SL,23.983319,1.22,0.219824541,3.142182739,-14.4,-7.9,25.93844689,74.3627375,Otolith rings,Ascension,Ascension Is. (8_�S),"Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus bahianus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,18.28,SL,24.995158,1.43,0.282354889,3.250901876,-42,-22.98,23.68475711,268.8929804,Otolith rings,Brazil,Cabo Frio (23_� S),"Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus bahianus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,18.84,SL,25.760874,1.4,0.295534247,3.270714379,-5.7,-18.9,22.38181805,80.88211593,Otolith rings,St. Helena,St. Helena Is. (16?S),"Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus blochii,4750,61.5,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.0195,2.99,0.018899687,27.6,SL,37.72506,0.25,0.082224162,2.985388006,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Acanthurus chirurgus,943,42,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02089,2.96,0.018433951,33.2,TL,33.2,0.254,0.149562287,2.831288518,-64.69,18.33,27.87900795,94.28083737,Mark-recapture,Virgin Islands US,NA,312
Acanthuridae,Acanthurus chirurgus,943,42,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02089,2.96,0.018433951,35,NG,35,0.5,0.331596163,3.177075918,-77.3,17.7,28.48861941,119.5676289,Unknown,Jamaica,Reefs,1786
Acanthuridae,Acanthurus chirurgus,943,42,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02089,2.96,0.018433951,20,SL,26.4926,0.705,0.249687157,3.053862626,-78.8,9.6,28.77987676,117.935005,Otolith rings,Panama,San Blas (southwestern Caribbean),52229
Acanthuridae,Acanthurus coeruleus,944,45,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02512,2.96,0.022166628,36.9,FL,39.7318905,0.112,0.084608638,2.651375086,-64.69,18.33,27.87900795,94.28083737,Mark-recapture,Virgin Islands,St. John,1475
Acanthuridae,Acanthurus coeruleus,944,45,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02512,2.96,0.022166628,30,NG,30,0.5,0.200592124,3.026274258,-77.3,17.7,28.48861941,119.5676289,Unknown,Jamaica,Reefs,1786
