Family,Species,AG,GoO,R,Reference
Apogonidae,Apogon coccineus,6,10,*,present
Apogonidae,Apogonichthyoides taeniatus,2,0,*,present
Apogonidae,Cheilodipterus novemstriatus,2,9,*,present
Apogonidae,Cheilodipterus persicus,0,1,*,Krupp & MŸller 1994
Apogonidae,Fowleria variegata,5,1,*,present
Apogonidae,Ostorhinchus cyanosoma,0,15,*,Krupp & MŸller 1994
Apogonidae,Ostorhinchus fleurieu,0,30,*,Eagderi et al. 2019
Batrachoididae,Colletteichthys occidentalis,6,0,*,present
Blenniidae,Antennablennius adenensis,0,54,*,Bishop 2003
Blenniidae,Ecsenius pulcher,8,97,*,present
Blenniidae,Laiphognathus multimaculatus,1,0,*,present
Bythitidae,Dinematichthys iluocoeteoides,5,0,*,present
Gobiidae,Asterropteryx semipunctata,0,2,*,Krupp & MŸller 1994; Bishop 2003
Gobiidae,Callogobius bifasciatus,2,0,*,present
Gobiidae,Callogobius speA,0,3,*,Eagderi et al. 2019
Gobiidae,Coryogalops anomalus,65,33,*,present
Gobiidae,Eviota guttata,0,69,*,Krupp & MŸller 1994
Gobiidae,Eviota punyit,0,12,*,Krupp & MŸller 1994; Bishop 2003
Gobiidae,Favonigobius melanobranchus,1,0,*,present
Gobiidae,Fusigobius inframaculatus,0,3,*,Eagderi et al. 2019
Gobiidae,Gnatholepis caudimaculata,0,14,*,Eagderi et al. 2019
Gobiidae,Gobiodon reticulatus,0,2,*,Bishop 2003
Gobiidae,Hetereleotris vulgaris,0,405,*,Eagderi et al. 2019
Gobiidae,Istigobius decoratus,0,15,*,Eagderi et al. 2019
Gobiidae,Priolepis cincta,0,4,*,Winterbottom & Burridge 1992
Gobiidae,Priolepis randalli,0,2,*,Winterbottom & Burridge 1993
Gobiidae,Priolepis semidoliata,0,10,Ð,NA
Gobiidae,Trimma corallinum,0,11,*,Eagderi et al. 2019
Muraenidae,Gymnothorax speA,0,12,*,Eagderi et al. 2019
Ostraciidae,Ostracion cubicus,0,3,*,Eagderi et al. 2019
Pomacanthidae,Pomacanthus maculosus,7,0,*,present
Pomacentridae,Chromis flavaxilla,0,19,*,Bishop 2003
Pomacentridae,Chromis xanthopterygius,0,3,*,Bishop 2003
Pomacentridae,Neopomacentrus cyanomos,0,38,*,Bishop 2003
Pomacentridae,Neopomacentrus miryae,0,38,Ð,NA
Pomacentridae,Neopomacentrus sindensis,0,6,*,Bishop 2003
Pomacentridae,Pomacentrus aquilus,3,0,*,present
Pomacentridae,Pomacentrus leptus,0,5,*,Bishop 2003
Pomacentridae,Pomacentrus trichrourus,5,0,*,present
Pseudochromidae,Pseudochromis aldabraensis,0,4,*,Bishop 2003
Pseudochromidae,Pseudochromis linda,1,0,*,present
Pseudochromidae,Pseudochromis nigrovittatus,2,1,*,present
Pseudochromidae,Pseudochromis persicus,1,0,*,present
Serranidae,Cephalopholis hemistiktos,2,2,*,present
Syngnathidae,Corythoichthys flavofasciata,0,5,*,Froese & Pauly 2019
Syngnathidae,Doryrhamphus excisus,0,3,*,Bishop 2003
Tripterygiidae,Enneapterygius ventermaculus,131,262,*,present
Tripterygiidae,Helcogramma fuscopinna,0,134,Ð,NA
