Number,Location,Site,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,
907,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,586,UAE18586,Apogonidae,Apogon,coccineus,APOGCOCC,33.4,41.8,1.335,UAE18586_APOGCOCC_33.4,25.48209,56.36566,Comm,
908,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,587,UAE18587,Apogonidae,Apogon,coccineus,APOGCOCC,37,45.3,1.703,UAE18587_APOGCOCC_37,25.48209,56.36566,Comm,
909,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,588,UAE18588,Apogonidae,Apogon,coccineus,APOGCOCC,35.1,44.6,1.743,UAE18588_APOGCOCC_35.1,25.48209,56.36566,Comm,
8,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,8,UAE18008,Apogonidae,Apogon,coccineus,APOGCOCC,38.4,49.3,1.744,UAE18008_APOGCOCC_38.4,24.3655,54.1008,Comm,
15,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,15,UAE18015,Apogonidae,Apogon,coccineus,APOGCOCC,37.4,48.3,1.771,UAE18015_APOGCOCC_37.4,24.3655,54.1008,Comm,
906,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,585,UAE18585,Apogonidae,Apogon,coccineus,APOGCOCC,36.1,45.7,1.878,UAE18585_APOGCOCC_36.1,25.48209,56.36566,Comm,
20,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,20,UAE18020,Apogonidae,Apogon,coccineus,APOGCOCC,40.8,50.2,2.06,UAE18020_APOGCOCC_40.8,24.599,54.4215,Comm,
151,AG,RasGhanada,RasGhanadaI,B6,Patchreef,29/04/18,7.3,265,UAE18,151,UAE18151,Apogonidae,Apogon,coccineus,APOGCOCC,40.4,52.2,2.099,UAE18151_APOGCOCC_40.4,24.84762,54.69013,Comm,
4,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,4,UAE18004,Apogonidae,Apogon,coccineus,APOGCOCC,41.7,51.6,2.193,UAE18004_APOGCOCC_41.7,24.3655,54.1008,Comm,
57,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,57,UAE18057,Apogonidae,Apogon,coccineus,APOGCOCC,41.9,53.2,2.32,UAE18057_APOGCOCC_41.9,24.36375,54.10164,UAE-jar,
690,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,488,UAE18488,Apogonidae,Apogon,coccineus,APOGCOCC,41.1,50.8,2.613,UAE18488_APOGCOCC_41.1,25.49257,56.36386,Comm,
911,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,590,UAE18590,Apogonidae,Apogon,coccineus,APOGCOCC,13,15.9,0.052,UAE18590_APOGCOCC_13,25.48209,56.36566,Vial,
912,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,591,UAE18591,Apogonidae,Apogon,coccineus,APOGCOCC,13.5,16.9,0.065,UAE18591_APOGCOCC_13.5,25.48209,56.36566,Vial,
910,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,589,UAE18589,Apogonidae,Apogon,coccineus,APOGCOCC,15.4,20.3,0.1,UAE18589_APOGCOCC_15.4,25.48209,56.36566,Vial,
502,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,431,UAE18431,Apogonidae,Apogon,coccineus,APOGCOCC,30.9,41.2,0.95,UAE18431_APOGCOCC_30.9,25.49182,56.36369,Comm,
501,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,430,UAE18430,Apogonidae,Apogon,coccineus,APOGCOCC,37.3,51.3,1.892,UAE18430_APOGCOCc_37.3,25.49182,56.36369,Comm,
183,AG,RasGhanada,RasGhanadaII,B7,Patchreef,29/04/18,7.3,280,UAE18,183,UAE18183,Apogonidae,Apogonichthyoides,taeniatus,APOGTAEN,61.8,78.9,8.685,UAE18183_APOGTAEN_61.8,24.84942,54.69458,Comm,
41,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,41,UAE18041,Apogonidae,Apogonichthyoides,taeniatus,APOGTAEN,71.7,90.7,13.809,UAE18041_APOGTAEN_71.7,24.59819,54.42298,Comm,
542,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,11.7,14.5,0.038,UAE18---_CHEINOVE_11.7,25.49182,56.36369,NPNT,Trash
60,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,60,UAE18060,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,23.5,30.1,0.296,UAE18060_CHEINOVE_23.5,24.36375,54.10164,Vial,
61,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,61,UAE18061,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,27.4,31.7,0.311,UAE18061_CHEINOVE_27.4,24.36375,54.10164,Vial,
543,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,31.7,41.4,0.767,UAE18---_CHEINOVE_31.7,25.49182,56.36369,NPNT,Trash
503,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,432,UAE18432,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,38.9,49.9,1.44,UAE18432_CHEINOVE_38.9,25.49182,56.36369,Comm,
544,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,37.9,47,1.482,UAE18---_CHEINOVE_37.9,25.49182,56.36369,NPNT,Trash
264,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,264,UAE18264,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,40,49.5,1.49,UAE18264_CHEINOVE_40,25.48247,56.36955,Comm,
504,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,433,UAE18433,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,42.6,52.8,1.927,UAE18433_CHEINOVE_42.6,25.49182,56.36369,Comm,
267,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,267,UAE18267,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,42.3,52.4,1.931,UAE18267_CHEINOVE_42.3,25.48247,56.36955,Comm,
265,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,265,UAE18265,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,45.9,57,2.321,UAE18265_CHEINOVE_45.9,25.48247,56.36955,Comm,
266,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,266,UAE18266,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,46.3,58.5,2.59,UAE18266_CHEINOVE_46.3,25.48247,56.36955,Comm,
545,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Cheilodipterus,persicus,CHEIPERS,42.4,54.4,1.839,UAE18---_CHEIPERS_42.4,25.49182,56.36369,NPNT,Trash
134,AG,Dhabiya,DhabiyaIII,B5,Patchreef,28/04/18,5.3,240,UAE18,134,UAE18134,Apogonidae,Fowleria,variegata,FOWLVARI,22.1,27.8,0.4,UAE18134_FOWLVARI_22.1,24.36197,54.09936,Vial,
263,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,263,UAE18263,Apogonidae,Fowleria,variegata,FOWLVARI,35.2,43.6,1.626,UAE18263_FOWLVARI_35.2,25.48247,56.36955,Comm,
19,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,19,UAE18019,Apogonidae,Fowleria,variegata,FOWLVARI,43.2,52.5,2.53,UAE18019_FOWLVARI_43.2,24.599,54.4215,Comm,
208,AG,RasGhanada,RasGhanadaIII,B8,Patchreef,29/04/18,7.3,250,UAE18,208,UAE18208,Apogonidae,Fowleria,variegata,FOWLVARI,48.8,60.5,3.305,UAE18208_FOWLVARI_48.8,24.845681,54.69289,Comm,
184,AG,RasGhanada,RasGhanadaII,B7,Patchreef,29/04/18,7.3,280,UAE18,184,UAE18184,Apogonidae,Fowleria,variegata,FOWLVARI,46.8,58.8,3.85,UAE18184_FOWLVARI_46.8,24.84942,54.69458,SepJar,
150,AG,RasGhanada,RasGhanadaI,B6,Patchreef,29/04/18,7.3,265,UAE18,150,UAE18150,Apogonidae,Fowleria,variegata,FOWLVARI,52.9,62.9,4.291,UAE18150_FOWLVARI_52.9,24.84762,54.69013,Comm,
540,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,23.4,28.6,0.298,UAE18---_OSTOCYAN_23.4,25.49182,56.36369,NPNT,Trash
541,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,25.8,31.9,0.428,UAE18---_OSTOCYAN_25.8,25.49182,56.36369,NPNT,Trash
538,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,25.8,32.4,0.495,UAE18---_OSTOCYAN_25.8,25.49182,56.36369,NPNT,Trash
537,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,29.3,37.5,0.728,UAE18---_OSTOCYAN_29.3,25.49182,56.36369,NPNT,Trash
539,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,33,40,0.881,UAE18---_OSTOCYAN_33,25.49182,56.36369,NPNT,Trash
505,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,434,UAE18434,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,30.5,40.7,0.953,UAE18434_OSTOCYAN_30.5,25.49182,56.36369,UAE-jar,
577,GoO,Snoopy,SnoopyI,B12,Rockyreef,2/5/18,4.6,240,UAE18,444,UAE18444,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,43.4,53,2.285,UAE18444_OSTOCYAN_43.4,25.49257,56.36386,Comm,
576,GoO,Snoopy,SnoopyI,B12,Rockyreef,2/5/18,4.6,240,UAE18,443,UAE18443,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,44.5,57.2,2.781,UAE18443_OSTOCYAN_44.5,25.49257,56.36386,Comm,
506,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,435,UAE18435,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,45.8,59.7,2.788,UAE18435_OSTOCYAN_45.8,25.49182,56.36369,Comm,
905,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,584,UAE18584,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,44.8,56.4,3.002,UAE18584_OSTOCYAN_44.8,25.48209,56.36566,Comm,
262,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,262,UAE18262,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,48,60.7,3.281,UAE18262_OSTOCYAN_48,25.48247,56.36955,Comm,
1100,GoO,Dibba,DibbaII,B15,Rockyreef,3/5/18,7.1,240,UAE18,670,UAE18670,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,50.1,61.3,3.656,UAE18670_OSTOCYAN_50.1,25.60345,56.35132,Comm,
1233,GoO,Dibba,DibbaIII,B16,Rockyreef,3/5/18,4.1,280,UAE18,775,UAE18775,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,48.1,60.5,3.685,UAE18775_OSTOCYAN_48.1,25.60254,56.35142,Comm,
1231,GoO,Dibba,DibbaIII,B16,Rockyreef,3/5/18,4.1,280,UAE18,773,UAE18773,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,52.3,62.4,3.902,UAE18773_OSTOCYAN_52.3,25.60254,56.35142,Comm,
1232,GoO,Dibba,DibbaIII,B16,Rockyreef,3/5/18,4.1,280,UAE18,774,UAE18774,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,51.2,62.5,4.004,UAE18774_OSTOCYAN_51.2,25.60254,56.35142,Comm,
562,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,26.4,34.9,0.611,UAE18---_OSTOFLEU_26.4,25.49182,56.36369,NPNT,Trash
551,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,29.7,39.7,0.948,UAE18---_OSTOFLEU_29.7,25.49182,56.36369,NPNT,Trash
557,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,31.7,41.3,1.012,UAE18---_OSTOFLEU_31.7,25.49182,56.36369,NPNT,Trash
548,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,30,41.8,1.059,UAE18---_OSTOFLEU_30,25.49182,56.36369,NPNT,Trash
549,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,31.3,41.5,1.071,UAE18---_OSTOFLEU_31.3,25.49182,56.36369,NPNT,Trash
546,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,32.2,42.2,1.104,UAE18---_OSTOFLEU_32.2,25.49182,56.36369,NPNT,Trash
559,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,31.8,41.3,1.109,UAE18---_OSTOFLEU_31.8,25.49182,56.36369,NPNT,Trash
572,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,33.1,43.2,1.178,UAE18---_OSTOFLEU_33.1,25.49182,56.36369,NPNT,Trash
575,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,33.2,42.2,1.243,UAE18---_OSTOFLEU_33.2,25.49182,56.36369,NPNT,Trash
566,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,33.6,44.3,1.25,UAE18---_OSTOFLEU_33.6,25.49182,56.36369,NPNT,Trash
550,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,32.9,43.8,1.258,UAE18---_OSTOFLEU_32.9,25.49182,56.36369,NPNT,Trash
555,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,33,43.5,1.262,UAE18---_OSTOFLEU_33,25.49182,56.36369,NPNT,Trash
564,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,34,45,1.293,UAE18---_OSTOFLEU_34,25.49182,56.36369,NPNT,Trash
565,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,33.4,45,1.345,UAE18---_OSTOFLEU_33.4,25.49182,56.36369,NPNT,Trash
568,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,33.3,43.2,1.361,UAE18---_OSTOFLEU_33.3,25.49182,56.36369,NPNT,Trash
563,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,35.4,46.1,1.376,UAE18---_OSTOFLEU_35.4,25.49182,56.36369,NPNT,Trash
573,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,35,45.7,1.385,UAE18---_OSTOFLEU_35,25.49182,56.36369,NPNT,Trash
560,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,34,45.4,1.426,UAE18---_OSTOFLEU_34,25.49182,56.36369,NPNT,Trash
567,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,34.6,45.8,1.43,UAE18---_OSTOFLEU_34.6,25.49182,56.36369,NPNT,Trash
574,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,35,45,1.434,UAE18---_OSTOFLEU_35,25.49182,56.36369,NPNT,Trash
553,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,34.6,46,1.467,UAE18---_OSTOFLEU_34.6,25.49182,56.36369,NPNT,Trash
556,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,35.3,46.3,1.495,UAE18---_OSTOFLEU_35.3,25.49182,56.36369,NPNT,Trash
561,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,34.6,45,1.523,UAE18---_OSTOFLEU_34.6,25.49182,56.36369,NPNT,Trash
570,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,35.4,45.6,1.527,UAE18---_OSTOFLEU_35.4,25.49182,56.36369,NPNT,Trash
547,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Apogonidae,Ostorhinchus,fleurieu,OSTOFLEU,33,44.6,1.53,UAE18---_OSTOFLEU_33,25.49182,56.36369,NPNT,Trash
