Well_ID,Exraction_Nuber,UW Cat number,Location,Sitename,Sitenumber,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,ID.match
A01,1,UW 158493,AG,DhabiyaI,B1,UAE18005,Gobiidae,Coryogalops,anomalus,CORYANOM,29.6,35.3,0.464,UAE18005_CORYANOM_29.6,UAE18005.1
B01,2,UW 158502,AG,DhabiyaII,B4,UAE18063,Gobiidae,Coryogalops,anomalus,CORYANOM,32.5,40.3,0.595,UAE18063_CORYANOM_32.5,UAE18063.1
C01,3,UW 158503,AG,DhabiyaIII,B5,UAE18133,Gobiidae,Coryogalops,anomalus,CORYANOM,18.8,24.5,0.146,UAE18133_CORYANOM_18.8,UAE18133.1
D01,4,UW 158504,AG,RasGhanadaI,B6,UAE18160,Gobiidae,Coryogalops,anomalus,CORYANOM,17.9,23,0.14,UAE18160_CORYANOM_17.9,UAE18160.1
E01,5,UW 158505,AG,RasGhanadaII,B7,UAE18185,Gobiidae,Coryogalops,anomalus,CORYANOM,23.7,30.2,0.29,UAE18185_CORYANOM_23.7,UAE18185.1
F01,6,UW 158506,AG,RasGhanadaIII,B8,UAE18215,Gobiidae,Coryogalops,anomalus,CORYANOM,18.3,23.8,0.127,UAE18215_CORYANOM_18.3,UAE18215.1
G01,7,UW 158500,AG,SaadiyatI,B2,UAE18036,Gobiidae,Coryogalops,anomalus,CORYANOM,27.7,33.6,0.456,UAE18036_CORYANOM_27.7,UAE18036.1
H01,8,UW 158501,AG,SaadiyatII,B3,UAE18048,Gobiidae,Coryogalops,anomalus,CORYANOM,26.1,31.5,0.393,UAE18048_CORYANOM_26.1,UAE18048.1
A02,9,UW 158507,AG,SaadiyatIII,B9,UAE18250,Gobiidae,Coryogalops,anomalus,CORYANOM,23.5,28.9,0.306,UAE18250_CORYANOM_23.5,UAE18250.1
B02,10,UW 158506,AG,RasGhanadaIII,B8,UAE18211,Gobiidae,Coryogalops,anomalus,CORYANOM,21.1,26.4,0.205,UAE18211_CORYANOM_21.1,UAE18211.1
C02,11,UW 158496,GoO,DibbaI,B13,UAE18518,Gobiidae,Coryogalops,anomalus,CORYANOM,25.4,30.9,0.353,UAE18518_CORYANOM_25.4,UAE18518.1
D02,12,UW 158498,GoO,DibbaIII,B16,UAE18738,Gobiidae,Coryogalops,anomalus,CORYANOM,21.5,26.3,0.231,UAE18738_CORYANOM_21.5,UAE18738.1
E02,13,UW 158498,GoO,DibbaIII,B16,UAE18747,Gobiidae,Coryogalops,anomalus,CORYANOM,24.4,29.3,0.316,UAE18747_CORYANOM_24.4,UAE18747.1
F02,14,UW 158498,GoO,DibbaIII,B16,UAE18798,Gobiidae,Coryogalops,anomalus,CORYANOM,27.7,33.9,0.526,UAE18798_CORYANOM_27.7,UAE18798.1
G02,15,UW 158494,GoO,SharmRockI,B10,UAE18332,Gobiidae,Coryogalops,anomalus,CORYANOM,19.6,25.4,0.176,UAE18332_CORYANOM_19.6,UAE18332.1
H02,16,UW 158494,GoO,SharmRockI,B10,UAE18336,Gobiidae,Coryogalops,anomalus,CORYANOM,21.2,25.9,0.196,UAE18336_CORYANOM_21.2,UAE18336.1
A03,17,UW 158499,GoO,SharmRockII,B18,UAE18867,Gobiidae,Coryogalops,anomalus,CORYANOM,20.6,25.7,0.199,UAE18867_CORYANOM_20.6,UAE18867.1
B03,18,UW 158497,GoO,SharmRockIII,B14,UAE18643,Gobiidae,Coryogalops,anomalus,CORYANOM,26,31.2,0.336,UAE18643_CORYANOM_26,UAE18643.1
C03,19,UW 158497,GoO,SharmRockIII,B14,UAE18645,Gobiidae,Coryogalops,anomalus,CORYANOM,26,31.2,0.419,UAE18645_CORYANOM_26,UAE18645.1
D03,20,UW 158495,GoO,SnoopyIII,B11,UAE18408,Gobiidae,Coryogalops,anomalus,CORYANOM,18.8,23.4,0.136,UAE18408_CORYANOM_18.8,UAE18408.1
E03,21,UW 158317,AG,DhabiyaII,B4,UAE18055,Blenniidae,Ecsenius,pulcher,ECSEPULC,57.4,75,2.685,UAE18055_ECSEPULC_57.4,UAE18055.1
