Location,Species,SL,TL,W
AG,ECSEPULC,36.3,46,0.796
AG,ECSEPULC,31.5,39.2,0.549
AG,ECSEPULC,31.9,39.7,0.509
AG,ECSEPULC,29.9,35.4,0.482
AG,ECSEPULC,25.4,30.6,0.314
AG,ECSEPULC,63.5,79.6,3.909
AG,ECSEPULC,41.7,52.2,1.077
AG,ECSEPULC,50.2,60.2,1.836
AG,ECSEPULC,48.4,58.4,1.804
AG,ECSEPULC,46.4,56.9,1.742
AG,ECSEPULC,61.7,80.6,2.634
AG,ECSEPULC,26.4,31.1,0.281
AG,ECSEPULC,18.2,21.6,0.112
AG,ECSEPULC,18.1,21.3,0.11
AG,ECSEPULC,20.2,23.5,0.159
AG,ECSEPULC,57,72.3,1.986
AG,ECSEPULC,16.4,19.7,0.075
AG,ECSEPULC,28.2,34.5,0.372
AG,ECSEPULC,19.6,23.5,0.127
AG,ECSEPULC,19.9,24.3,0.129
AG,ECSEPULC,21.5,26.6,0.249
AG,ECSEPULC,46.3,54.5,1.125
AG,ECSEPULC,20.4,24.3,0.145
AG,ECSEPULC,18.5,21.7,0.121
AG,ECSEPULC,20.6,24.1,0.127
AG,ECSEPULC,19.1,21.8,0.101
AG,ECSEPULC,36.6,44.9,0.71
AG,ECSEPULC,38.5,46.4,0.894
AG,ECSEPULC,37.3,46.5,0.784
AG,ECSEPULC,24.8,30.2,0.275
AG,ECSEPULC,16.6,20,0.096
AG,ECSEPULC,57.8,72.2,2.22
AG,ECSEPULC,20.5,25.6,0.178
AG,ECSEPULC,52.1,62.7,1.806
AG,ECSEPULC,20.4,23.8,0.137
AG,ECSEPULC,56.6,70.7,2.01
AG,ECSEPULC,51.6,68.7,1.809
AG,ECSEPULC,19.5,23.6,0.123
AG,ECSEPULC,19,21.8,0.118
AG,ECSEPULC,19.6,24,0.165
AG,ECSEPULC,20.3,24.4,0.138
AG,ECSEPULC,25,30.7,0.296
AG,ECSEPULC,20.8,25.7,0.18
AG,ECSEPULC,22.1,27.2,0.188
AG,ECSEPULC,19.4,22.8,0.139
AG,ECSEPULC,26,31.5,0.317
AG,ECSEPULC,18.8,22.7,0.105
AG,ECSEPULC,20.2,24.2,0.145
AG,ECSEPULC,21.3,25.6,0.186
AG,ECSEPULC,57.2,71.5,2.065
AG,ECSEPULC,58.4,78.2,2.193
AG,ECSEPULC,15.8,19.5,0.089
AG,ECSEPULC,16.4,19.8,0.098
AG,ECSEPULC,14.7,17.9,0.061
AG,ECSEPULC,15.1,18.1,0.062
AG,ECSEPULC,16.2,20,0.098
AG,ECSEPULC,19.1,23.6,0.149
AG,ECSEPULC,16.2,20.4,0.081
AG,ECSEPULC,16.8,21.3,0.098
AG,ECSEPULC,18.2,22.2,0.102
AG,ECSEPULC,16,19.2,0.074
AG,ECSEPULC,16.1,19.8,0.067
AG,ECSEPULC,19,23.3,0.109
AG,ECSEPULC,20.3,24.1,0.124
AG,ECSEPULC,15.1,18.1,0.059
AG,ECSEPULC,46.8,56.2,1.372
AG,ECSEPULC,17.1,20.5,0.084
AG,ECSEPULC,19.4,23.3,0.138
AG,ECSEPULC,21.4,25.4,0.143
AG,ECSEPULC,18.4,22.2,0.103
AG,ECSEPULC,53,63.5,2.001
AG,ECSEPULC,44.4,55.2,1.299
AG,ECSEPULC,47.8,59.1,1.643
AG,ECSEPULC,18.4,22.5,0.099
AG,ECSEPULC,18.3,22.4,0.117
AG,ECSEPULC,20,24.2,0.131
AG,ECSEPULC,21.8,26.7,0.205
AG,ECSEPULC,53.4,72.1,1.976
AG,ECSEPULC,18.7,22,0.109
AG,ECSEPULC,16.8,18.7,0.09
AG,ECSEPULC,22,27,0.226
AG,ECSEPULC,53.1,73.3,2.299
AG,ECSEPULC,51.8,60.7,1.953
AG,ECSEPULC,47.4,58.2,1.709
AG,ENNEVENT,19.1,22.5,0.122
AG,ENNEVENT,18.6,23.1,0.129
AG,ENNEVENT,18.9,23.5,0.129
AG,ENNEVENT,15.3,18.7,0.063
AG,ENNEVENT,22.2,26.8,0.18
AG,ENNEVENT,19.9,24.1,0.157
AG,ENNEVENT,17.1,20.7,0.089
AG,ENNEVENT,16.3,20.1,0.078
AG,ENNEVENT,17.3,21.1,0.101
AG,ENNEVENT,17.8,21.5,0.105
AG,ENNEVENT,11.1,13.6,0.023
AG,ENNEVENT,13.5,15.8,0.039
AG,ENNEVENT,18.9,23.9,0.151
AG,ENNEVENT,19.8,23.8,0.14
AG,ENNEVENT,18.7,23.5,0.131
AG,ENNEVENT,18.5,23.3,0.13
AG,ENNEVENT,18.5,23.8,0.12
AG,ENNEVENT,18.7,22.6,0.129
AG,ENNEVENT,16.2,19.5,0.068
AG,ENNEVENT,16,19.1,0.073
AG,ENNEVENT,14.7,17.9,0.061
AG,ENNEVENT,17,22,0.104
AG,ENNEVENT,15.2,18.2,0.065
AG,ENNEVENT,19.1,23.4,0.146
AG,ENNEVENT,20.1,24.6,0.155
AG,ENNEVENT,16.4,20.6,0.088
AG,ENNEVENT,15.5,17.8,0.069
AG,ENNEVENT,15.9,18.9,0.08
AG,ENNEVENT,14.7,18.3,0.065
AG,ENNEVENT,16.5,20.8,0.096
AG,ENNEVENT,15.1,18.5,0.067
AG,ENNEVENT,19.5,24.1,0.137
AG,ENNEVENT,19.4,22.9,0.127
AG,ENNEVENT,15.2,18.3,0.053
AG,ENNEVENT,19.4,23.4,0.146
AG,ENNEVENT,15.4,18.3,0.069
AG,ENNEVENT,16.3,19.7,0.077
AG,ENNEVENT,15.3,19.8,0.072
AG,ENNEVENT,16,21,0.078
AG,ENNEVENT,16,18.9,0.078
AG,ENNEVENT,14.2,17.5,0.054
AG,ENNEVENT,14.3,18,0.049
AG,ENNEVENT,14.8,19,0.072
AG,ENNEVENT,14.3,17.4,0.056
AG,ENNEVENT,15.5,18.3,0.058
AG,ENNEVENT,18.3,21.4,0.13
AG,ENNEVENT,14.3,17.3,0.06
AG,ENNEVENT,18.8,23.2,0.096
AG,ENNEVENT,16.4,21.1,0.105
AG,ENNEVENT,12.5,15.5,0.038
AG,ENNEVENT,15.4,18.7,0.072
AG,ENNEVENT,12.6,15.7,0.034
AG,ENNEVENT,15.7,18.8,0.073
AG,ENNEVENT,19.8,22.8,0.136
AG,ENNEVENT,14.3,17.9,0.059
AG,ENNEVENT,13.1,16.2,0.038
AG,ENNEVENT,10.4,13.4,0.02
AG,ENNEVENT,11.2,14,0.024
AG,ENNEVENT,8.8,12,0.011
AG,ENNEVENT,9.9,11.6,0.013
AG,ENNEVENT,9.1,11.9,0.011
AG,ENNEVENT,19.4,22.6,0.131
AG,ENNEVENT,18.7,23.2,0.143
AG,ENNEVENT,15.4,20.3,0.078
AG,ENNEVENT,17.2,21.7,0.091
