Family,Genus,Species,MaxSizeTL,Diet,Schooling,Movimentation,sst_mean
Blenniidae,Antennablennius,speA,5,HerDet,Solitr,BnthDw,28.08267
Blenniidae,Antennablennius,speB,5,HerDet,Solitr,BnthDw,28.08267
Apogonidae,Apogon,coccineus,6,InvMob,Solitr,BnthDw,28.08267
Apogonidae,Apogon,speA,6,InvMob,Solitr,BnthDw,28.08267
Apogonidae,Apogonichthyoides,taeniatus,17,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Asterropteryx,semipunctata,6.5,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Callogobius,bifasciatus,7,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Callogobius,speA,7,InvMob,Solitr,BnthDw,28.08267
Serranidae,Cephalopholis,hemistiktos,35,FisCep,Pairng,BnthDw,28.08267
Apogonidae,Cheilodipterus,novemstriatus,8,Plktiv,MedGrp,BnthDw,28.08267
Apogonidae,Cheilodipterus,persicus,15,Plktiv,MedGrp,BnthDw,28.08267
Pomacentridae,Chromis,flavaxilla,7.2,Plktiv,SmaGrp,BnthDw,28.08267
Pomacentridae,Chromis,xanthopterygius,11.5,Plktiv,SmaGrp,BnthDw,28.08267
Blenniidae,Cirripectes,filamentosus,7.5,HerDet,Solitr,BnthDw,28.08267
Batrachoididae,Colletteichthys,occidentalis,14.8,InvMob,Solitr,BnthDw,28.08267
Batrachoididae,Colletteichthys,spA,14.8,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Coryogalops,anomalus,5.8,InvMob,Solitr,BnthDw,28.08267
Syngnathidae,Corythoichthys,speA,12,InvMob,Pairng,BnthDw,28.08267
Bythitidae,Dinematichthys,iluocoeteoides,12,InvMob,Pairng,BnthDw,28.08267
Syngnathidae,Doryrhamphus,excisus,7,InvMob,Pairng,BnthDw,28.08267
Syngnathidae,Doryrhamphus,speA,7,InvMob,Pairng,BnthDw,28.08267
Blenniidae,Ecsenius,pulcher,11,HerDet,Solitr,BnthDw,28.08267
Tripterygiidae,Enneapterygius,ventermaculus,4,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Eviota,guttata,3.2,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Eviota,punyit,1.8,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Favonigobius,melanobranchus,8.3,InvMob,Solitr,BnthDw,28.08267
Apogonidae,Fowleria,variegata,8,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Fusigobius,inframaculatus,4.6,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Gnatholepis,speA,6,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Gobiodon,reticulatus,2.1,InvMob,SmaGrp,BnthDw,28.08267
Muraenidae,Gymnothorax,speA,59.5,InvMob,Solitr,BnthDw,28.08267
Tripterygiidae,Helcogramma,fuscopinna,3.8,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Hetereleotris,vulgaris,4,InvMob,Solitr,BnthDw,28.08267
Gobiidae,Istigobius,speA,11,InvMob,Solitr,BnthDw,28.08267
Pomacentridae,Neopomacentrus,cyanomos,10,Plktiv,MedGrp,BnthDw,28.08267
Pomacentridae,Neopomacentrus,miryae,11,Plktiv,MedGrp,BnthDw,28.08267
Pomacentridae,Neopomacentrus,sindensis,10,Plktiv,MedGrp,BnthDw,28.08267
Blenniidae,Omobranchus,spA,6.8,HerDet,Solitr,BnthDw,28.08267
Apogonidae,Ostorhinchus,cyanosoma,8,Plktiv,MedGrp,BnthDw,28.08267
Apogonidae,Ostorhinchus,fleurieu,12.5,Plktiv,MedGrp,BnthDw,28.08267
Ostraciidae,Ostracion,cubicus,45,Omnivr,Solitr,BnthDw,28.08267
Pomacentridae,Pomacentrus,aquilus,12,Omnivr,Solitr,BnthDw,28.08267
Pomacentridae,Pomacentrus,leptus,7,Omnivr,Solitr,BnthDw,28.08267
Pomacanthidae,Pomacanthus,maculosus,50,Omnivr,Pairng,BnthDw,28.08267
Pomacentridae,Pomacentrus,trichrourus,11,Omnivr,Solitr,BnthDw,28.08267
Gobiidae,Priolepis,cincta,7,InvMob,Pairng,BnthDw,28.08267
Gobiidae,Priolepis,randalli,5.1,InvMob,Pairng,BnthDw,28.08267
Gobiidae,Priolepis,semidoliata,4,InvMob,Pairng,BnthDw,28.08267
Gobiidae,Priolepis,speA,5,InvMob,Pairng,BnthDw,28.08267
Pseudochromidae,Pseudochromis,aldabraensis,10,FisCep,Solitr,BnthDw,28.08267
Pseudochromidae,Pseudochromis,linda,8.1,FisCep,Solitr,BnthDw,28.08267
Pseudochromidae,Pseudochromis,nigrovittatus,9,FisCep,Solitr,BnthDw,28.08267
Pseudochromidae,Pseudochromis,persicus,15.4,FisCep,Solitr,BnthDw,28.08267
Gobiidae,Trimma,speA,2.5,InvMob,Solitr,BnthDw,28.08267
