Number,Location,Site,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,Genspe,MaxSizeTL,Diet,Schooling,Movimentation,sstmean
1,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,1,UAE18001,Gobiidae,Coryogalops,anomalus,CORYANOM,21.6,26.9,0.186,UAE18001_CORYANOM_21.6,24.3655,54.1008,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
2,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,2,UAE18002,Bythitidae,Dinematichthys,iluocoeteoides,DINEILUO,58.5,63.4,2.53,UAE18002_DINEILUO_58.5,24.3655,54.1008,Comm,Din. iluocoeteoides,12,InvMob,Pairng,BnthDw,27.85
3,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,3,UAE18003,Gobiidae,Coryogalops,anomalus,CORYANOM,26.1,32.1,0.377,UAE18003_CORYANOM_26.1,24.3655,54.1008,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
4,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,4,UAE18004,Apogonidae,Apogon,coccineus,APOGCOCC,41.7,51.6,2.193,UAE18004_APOGCOCC_41.7,24.3655,54.1008,Comm,Apo. coccineus,6,InvMob,Solitr,BnthDw,27.85
5,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,5,UAE18005,Gobiidae,Coryogalops,anomalus,CORYANOM,29.6,35.3,0.464,UAE18005_CORYANOM_29.6,24.3655,54.1008,Comm,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
6,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,6,UAE18006,Gobiidae,Coryogalops,anomalus,CORYANOM,20.5,25.3,0.213,UAE18006_CORYANOM_20.5,24.3655,54.1008,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
7,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,7,UAE18007,Gobiidae,Coryogalops,anomalus,CORYANOM,22,26,0.224,UAE18007_CORYANOM_22,24.3655,54.1008,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
8,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,8,UAE18008,Apogonidae,Apogon,coccineus,APOGCOCC,38.4,49.3,1.744,UAE18008_APOGCOCC_38.4,24.3655,54.1008,Comm,Apo. coccineus,6,InvMob,Solitr,BnthDw,27.85
9,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,9,UAE18009,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.1,22.5,0.122,UAE18009_ENNEVENT_19.1,24.3655,54.1008,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
10,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,10,UAE18010,Gobiidae,Coryogalops,anomalus,CORYANOM,21.9,26.8,0.225,UAE18010_CORYANOM_21.9,24.3655,54.1008,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
11,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,11,UAE18011,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.6,23.1,0.129,UAE18011_ENNEVENT_18.6,24.3655,54.1008,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
12,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,12,UAE18012,Gobiidae,Coryogalops,anomalus,CORYANOM,17.8,22,0.118,UAE18012_CORYANOM_17.8,24.3655,54.1008,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
13,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,13,UAE18013,Batrachoididae,Colletteichthys,occidentalis,COLLOCCI,84.3,103.3,17.97,UAE18013_COLLOCCI_84.3,24.3655,54.1008,Comm,Col. occidentalis,14.8,InvMob,Solitr,BnthDw,27.85
14,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,14,UAE18014,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.9,23.5,0.129,UAE18014_ENNEVENT_18.9,24.3655,54.1008,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
15,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,15,UAE18015,Apogonidae,Apogon,coccineus,APOGCOCC,37.4,48.3,1.771,UAE18015_APOGCOCC_37.4,24.3655,54.1008,Comm,Apo. coccineus,6,InvMob,Solitr,BnthDw,27.85
16,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,16,UAE18016,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.3,18.7,0.063,UAE18016_ENNEVENT_15.3,24.3655,54.1008,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
17,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,17,UAE18017,Pomacanthidae,Pomacanthus,maculosus,POMAMACU,43.4,55.7,4.851,UAE18017_POMAMACU_43.4,24.3655,54.1008,Comm,Pom. maculosus,50,Omnivr,Pairng,BnthDw,27.85
18,AG,Dhabiya,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,18,UAE18018,Gobiidae,Coryogalops,anomalus,CORYANOM,10.8,13.4,0.026,UAE18018_CORYANOM_10.8,24.3655,54.1008,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
19,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,19,UAE18019,Apogonidae,Fowleria,variegata,FOWLVARI,43.2,52.5,2.53,UAE18019_FOWLVARI_43.2,24.599,54.4215,Comm,Fow. variegata,8,InvMob,Solitr,BnthDw,27.85
20,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,20,UAE18020,Apogonidae,Apogon,coccineus,APOGCOCC,40.8,50.2,2.06,UAE18020_APOGCOCC_40.8,24.599,54.4215,Comm,Apo. coccineus,6,InvMob,Solitr,BnthDw,27.85
21,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,21,UAE18021,Gobiidae,Callogobius,bifasciatus,CALLBIFA,26.8,32.9,0.37,UAE18021_CALLBIFA_26.8,24.599,54.4215,Comm,Cal. bifasciatus,7,InvMob,Solitr,BnthDw,27.85
22,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,22,UAE18022,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,22.2,26.8,0.18,UAE18022_ENNEVENT_22.2,24.599,54.4215,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
23,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,23,UAE18023,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.9,24.1,0.157,UAE18023_ENNEVENT_19.9,24.599,54.4215,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
24,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,24,UAE18024,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.1,20.7,0.089,UAE18024_ENNEVENT_17.1,24.599,54.4215,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
25,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,25,UAE18025,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.3,20.1,0.078,UAE18025_ENNEVENT_16.3,24.599,54.4215,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
26,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,26,UAE18026,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.3,21.1,0.101,UAE18026_ENNEVENT_17.3,24.599,54.4215,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
27,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,27,UAE18027,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.8,21.5,0.105,UAE18027_ENNEVENT_17.8,24.599,54.4215,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
