"Location","Site","Sitename","Sitenumber","Habitat","Date","Depth","Dimension","Loc_abbrev","ID_number","ID","Family","Genus","Species","Tax","SL","TL","Full_ID","Lat","Long","Notes","Genspe","Kmax","Md","Weight","Growth","MortLoss"
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","1","UAE18001","Gobiidae","Coryogalops","anomalus","CORYANOM",21.6,26.9,"UAE18001_CORYANOM_21.6",24.3655,54.1008,"Vial","Cor. anomalus",1.5708065032959,0.00228209553050758,0.186,0.00278854373944062,0.00042398579662027
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","2","UAE18002","Bythitidae","Dinematichthys","iluocoeteoides","DINEILUO",58.5,63.4,"UAE18002_DINEILUO_58.5",24.3655,54.1008,"Comm","Din. iluocoeteoides",0.40650486946106,0.000646829053393433,2.53,0.00734559317759135,0.001635948358583
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","3","UAE18003","Gobiidae","Coryogalops","anomalus","CORYANOM",26.1,32.1,"UAE18003_CORYANOM_26.1",24.3655,54.1008,"Vial","Cor. anomalus",1.5708065032959,0.00198947438424402,0.377,0.00393858719211251,0.000749286252816672
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","4","UAE18004","Apogonidae","Apogon","coccineus","APOGCOCC",41.7,51.6,"UAE18004_APOGCOCC_41.7",24.3655,54.1008,"Comm","Apo. coccineus",1.560826420784,0.00139225458299646,2.193,0.00478315362900549,0.00305108986074452
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","5","UAE18005","Gobiidae","Coryogalops","anomalus","CORYANOM",29.6,35.3,"UAE18005_CORYANOM_29.6",24.3655,54.1008,"Comm","Cor. anomalus",1.5708065032959,0.00184857916314034,0.464,0.00386071405763635,0.00085694841916782
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","6","UAE18006","Gobiidae","Coryogalops","anomalus","CORYANOM",20.5,25.3,"UAE18006_CORYANOM_20.5",24.3655,54.1008,"Vial","Cor. anomalus",1.5708065032959,0.00239388860934291,0.213,0.00357205140268905,0.000509288440676516
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","7","UAE18007","Gobiidae","Coryogalops","anomalus","CORYANOM",22,26,"UAE18007_CORYANOM_22",24.3655,54.1008,"Vial","Cor. anomalus",1.5708065032959,0.00234343891204313,0.224,0.00357618799688739,0.00052431572541213
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","8","UAE18008","Apogonidae","Apogon","coccineus","APOGCOCC",38.4,49.3,"UAE18008_APOGCOCC_38.4",24.3655,54.1008,"Comm","Apo. coccineus",1.560826420784,0.00144168770835462,1.744,0.00507267304229293,0.00251249181391096
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","9","UAE18009","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",19.1,22.5,"UAE18009_ENNEVENT_19.1",24.3655,54.1008,"Vial","Enn. ventermaculus",4.60833430290222,0.00467391744600926,0.122,0.00370406853336763,0.000568887426344046
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","10","UAE18010","Gobiidae","Coryogalops","anomalus","CORYANOM",21.9,26.8,"UAE18010_CORYANOM_21.9",24.3655,54.1008,"Vial","Cor. anomalus",1.5708065032959,0.00228872632017567,0.225,0.00339682943863865,0.000514374566199502
