Number,Location,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,
1,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,1,UAE18001,Gobiidae,Coryogalops,anomalus,CORYANOM,21.6,26.9,0.186,UAE18001_CORYANOM_21.6,24.3655,54.1008,Vial,
2,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,2,UAE18002,Bythitidae,Dinematichthys,iluocoeteoides,DINEILUO,58.5,63.4,2.53,UAE18002_DINEILUO_58.5,24.3655,54.1008,Comm,
3,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,3,UAE18003,Gobiidae,Coryogalops,anomalus,CORYANOM,26.1,32.1,0.377,UAE18003_CORYANOM_26.1,24.3655,54.1008,Vial,
4,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,4,UAE18004,Apogonidae,Apogon,coccineus,APOGCOCC,41.7,51.6,2.193,UAE18004_APOGCOCC_41.7,24.3655,54.1008,Comm,
5,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,5,UAE18005,Gobiidae,Coryogalops,anomalus,CORYANOM,29.6,35.3,0.464,UAE18005_CORYANOM_29.6,24.3655,54.1008,Comm,
6,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,6,UAE18006,Gobiidae,Coryogalops,anomalus,CORYANOM,20.5,25.3,0.213,UAE18006_CORYANOM_20.5,24.3655,54.1008,Vial,
7,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,7,UAE18007,Gobiidae,Coryogalops,anomalus,CORYANOM,22,26,0.224,UAE18007_CORYANOM_22,24.3655,54.1008,Vial,
8,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,8,UAE18008,Apogonidae,Apogon,coccineus,APOGCOCC,38.4,49.3,1.744,UAE18008_APOGCOCC_38.4,24.3655,54.1008,Comm,
9,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,9,UAE18009,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.1,22.5,0.122,UAE18009_ENNEVENT_19.1,24.3655,54.1008,Vial,
10,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,10,UAE18010,Gobiidae,Coryogalops,anomalus,CORYANOM,21.9,26.8,0.225,UAE18010_CORYANOM_21.9,24.3655,54.1008,Vial,
11,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,11,UAE18011,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.6,23.1,0.129,UAE18011_ENNEVENT_18.6,24.3655,54.1008,Vial,
12,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,12,UAE18012,Gobiidae,Coryogalops,anomalus,CORYANOM,17.8,22,0.118,UAE18012_CORYANOM_17.8,24.3655,54.1008,Vial,
13,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,13,UAE18013,Batrachoididae,Colletteichthys,occidentalis,COLLOCCI,84.3,103.3,17.97,UAE18013_COLLOCCI_84.3,24.3655,54.1008,Comm,
14,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,14,UAE18014,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.9,23.5,0.129,UAE18014_ENNEVENT_18.9,24.3655,54.1008,Vial,
15,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,15,UAE18015,Apogonidae,Apogon,coccineus,APOGCOCC,37.4,48.3,1.771,UAE18015_APOGCOCC_37.4,24.3655,54.1008,Comm,
16,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,16,UAE18016,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.3,18.7,0.063,UAE18016_ENNEVENT_15.3,24.3655,54.1008,Vial,
17,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,17,UAE18017,Pomacanthidae,Pomacanthus,maculosus,POMAMACU,43.4,55.7,4.851,UAE18017_POMAMACU_43.4,24.3655,54.1008,Comm,
18,AbuDhabi,DhabiyaI,B1,Patchreef,26/04/18,6.1,260,UAE18,18,UAE18018,Gobiidae,Coryogalops,anomalus,CORYANOM,10.8,13.4,0.026,UAE18018_CORYANOM_10.8,24.3655,54.1008,Vial,
